league_id,fixture_id,elapsed,elapsed_plus,team_id,team_name,player_id,player,assist_player_id,assisted_by,type,detail,comments
39,867946,20,0,42,Arsenal,127769,Gabriel Martinelli,641,O. Zinchenko,Goal,Normal Goal,
39,867946,44,0,42,Arsenal,1464,Granit Xhaka,0,,Card,Yellow Card,Simulation
39,867946,58,0,52,Crystal Palace,1135,O. Édouard,25927,J. Mateta,subst,J. Mateta,
39,867946,60,0,42,Arsenal,19959,Benjamin White,0,,Card,Yellow Card,Foul
39,867946,64,0,52,Crystal Palace,18862,Nathaniel Clyne,0,,Card,Yellow Card,Foul
39,867946,75,0,52,Crystal Palace,3339,C. Doucouré,18852,L. Milivojević,subst,L. Milivojević,
39,867946,83,0,42,Arsenal,643,Gabriel Jesus,1468,E. Nketiah,subst,E. Nketiah,
39,867946,83,0,42,Arsenal,641,O. Zinchenko,1117,K. Tierney,subst,K. Tierney,
39,867946,85,0,42,Arsenal,67971,M. Guéhi,0,,Goal,Own Goal,
39,867946,86,0,52,Crystal Palace,19586,E. Eze,328808,M. Ebiowei,subst,M. Ebiowei,
39,867946,86,0,52,Crystal Palace,18843,J. Schlupp,18806,W. Hughes,subst,W. Hughes,
39,867946,90,3,42,Arsenal,37127,M. Ødegaard,1427,A. Lokonga,subst,A. Lokonga,
39,867947,17,0,36,Fulham,657,Kenny Tete,0,,Card,Yellow Card,Foul
39,867947,32,0,36,Fulham,2825,A. Mitrović,657,K. Tete,Goal,Normal Goal,
39,867947,51,0,40,Liverpool,302,Roberto Firmino,51617,D. Núñez,subst,D. Núñez,
39,867947,51,0,40,Liverpool,507,Thiago Alcântara,19035,H. Elliott,subst,H. Elliott,
39,867947,59,0,40,Liverpool,299,Fabinho,296,J. Milner,subst,J. Milner,
39,867947,64,0,40,Liverpool,51617,D. Núñez,0,,Goal,Normal Goal,
39,867947,66,0,36,Fulham,19027,N. Kebano,697,M. Solomon,subst,M. Solomon,
39,867947,72,0,36,Fulham,2825,A. Mitrović,0,,Goal,Penalty,
39,867947,78,0,40,Liverpool,2489,L. Díaz,153066,Fábio Carvalho,subst,Fábio Carvalho,
39,867947,80,0,40,Liverpool,306,Mohamed Salah,51617,D. Núñez,Goal,Normal Goal,
39,867947,89,0,36,Fulham,899,Andreas Pereira,19025,T. Cairney,subst,T. Cairney,
39,867947,90,0,36,Fulham,19004,Bobby Reid,0,,Card,Yellow Card,Time wasting
39,867947,90,4,36,Fulham,19004,B. De Cordova-Reid,18962,S. Duffy,subst,S. Duffy,
39,867948,2,0,35,Bournemouth,2490,J. Lerma,0,,Goal,Normal Goal,
39,867948,23,0,66,Aston Villa,18955,Danny Ings,0,,Card,Yellow Card,Foul
39,867948,39,0,35,Bournemouth,18869,Adam Smith,0,,Card,Yellow Card,Foul
39,867948,45,2,35,Bournemouth,19454,Ben Pearson,0,,Card,Yellow Card,Foul
39,867948,45,3,66,Aston Villa,19192,Jacob Ramsey,0,,Card,Yellow Card,Foul
39,867948,46,0,66,Aston Villa,19192,J. Ramsey,19071,E. Buendía,subst,E. Buendía,
39,867948,66,0,66,Aston Villa,18955,D. Ings,19366,O. Watkins,subst,O. Watkins,
39,867948,72,0,35,Bournemouth,19454,B. Pearson,18872,L. Cook,subst,L. Cook,
39,867948,73,0,35,Bournemouth,2734,Philip Billing,0,,Card,Yellow Card,Foul
39,867948,80,0,35,Bournemouth,19804,K. Moore,19263,L. Kelly,Goal,Normal Goal,
39,867948,81,0,66,Aston Villa,147,Philippe Coutinho,137302,C. Archer,subst,C. Archer,
39,867948,82,0,66,Aston Villa,1904,B. Kamara,47522,Douglas Luiz,subst,Douglas Luiz,
39,867948,86,0,35,Bournemouth,19245,M. Tavernier,1125,R. Christie,subst,R. Christie,
39,867948,90,3,66,Aston Villa,47522,Douglas Luiz,0,,Card,Yellow Card,Foul
39,867948,90,5,35,Bournemouth,18883,D. Solanke,18878,J. Stanislas,subst,J. Stanislas,
39,867949,6,0,39,Wolves,1605,Daniel Podence,24888,Hwang Hee-Chan,Goal,Normal Goal,
39,867949,20,0,63,Leeds,19128,Jack Harrison,0,,Card,Yellow Card,Foul
39,867949,24,0,63,Leeds,935,Rodrigo,19128,J. Harrison,Goal,Normal Goal,
39,867949,65,0,63,Leeds,935,Rodrigo,3008,M. Klich,subst,M. Klich,
39,867949,73,0,63,Leeds,47341,Marc Roca,153400,S. Greenwood,subst,S. Greenwood,
39,867949,74,0,63,Leeds,21138,R. Aït Nouri,0,,Goal,Own Goal,
39,867949,84,0,63,Leeds,19134,P. Bamford,19569,J. Gelhardt,subst,J. Gelhardt,
39,867949,84,0,63,Leeds,50739,B. Aaronson,37724,C. Summerville,subst,C. Summerville,
39,867949,85,0,39,Wolves,24888,Hwang Hee-Chan,158432,C. Campbell,subst,C. Campbell,
39,867949,90,3,63,Leeds,1150,Tyler Adams,0,,Card,Yellow Card,Foul
39,867951,15,0,65,Nottingham Forest,1746,Joe Worrall,0,,Card,Yellow Card,Foul
39,867951,23,0,65,Nottingham Forest,138780,Neco Williams,0,,Card,Yellow Card,Foul
39,867951,56,0,65,Nottingham Forest,20503,Lewis O'Brien,0,,Card,Yellow Card,Foul
39,867951,58,0,34,Newcastle,2806,F. Schär,0,,Goal,Normal Goal,
39,867951,63,0,65,Nottingham Forest,18884,S. Surridge,8598,T. Awoniyi,subst,T. Awoniyi,
39,867951,75,0,65,Nottingham Forest,20503,L. OBrien,24882,O. Mangala,subst,O. Mangala,
39,867951,78,0,34,Newcastle,2939,C. Wilson,723,Joelinton,Goal,Normal Goal,
39,867951,80,0,34,Newcastle,1463,J. Willock,18901,S. Longstaff,subst,S. Longstaff,
39,867951,81,0,34,Newcastle,2507,M. Almirón,18873,R. Fraser,subst,R. Fraser,
39,867951,83,0,65,Nottingham Forest,25916,M. Niakhaté,129712,A. Mighten,subst,A. Mighten,
39,867951,89,0,34,Newcastle,2939,C. Wilson,18931,C. Wood,subst,C. Wood,
39,867951,90,3,34,Newcastle,10135,Bruno Guimarães,38734,S. Botman,subst,S. Botman,
39,867951,90,0,34,Newcastle,22173,A. Saint-Maximin,19163,J. Murphy,subst,J. Murphy,
39,867952,12,0,41,Southampton,2938,J. Ward-Prowse,2114,M. Djenepo,Goal,Normal Goal,
39,867952,21,0,47,Tottenham,19032,R. Sessegnon,30435,D. Kulusevski,Goal,Normal Goal,
39,867952,24,0,47,Tottenham,19032,Ryan Sessegnon,0,,Card,Yellow Card,Foul
39,867952,31,0,47,Tottenham,175,E. Dier,186,Son Heung-Min,Goal,Normal Goal,
39,867952,46,0,41,Southampton,19484,A. Armstrong,18945,S. Armstrong,subst,S. Armstrong,
39,867952,46,0,41,Southampton,18942,Y. Valery,18940,J. Stephens,subst,J. Stephens,
39,867952,61,0,47,Tottenham,47480,M. Salisu,0,,Goal,Own Goal,
39,867952,63,0,47,Tottenham,30435,D. Kulusevski,1566,Emerson,Goal,Normal Goal,
39,867952,66,0,47,Tottenham,19032,R. Sessegnon,207,I. Perišić,subst,I. Perišić,
39,867952,72,0,41,Southampton,2114,M. Djenepo,20600,R. Perraud,subst,R. Perraud,
39,867952,75,0,41,Southampton,18949,Oriol Romeu,20557,I. Diallo,subst,I. Diallo,
39,867952,75,0,47,Tottenham,863,Rodrigo Bentancur,0,,Card,Yellow Card,Foul
39,867952,86,0,47,Tottenham,30435,D. Kulusevski,178,Lucas Moura,subst,Lucas Moura,
39,867952,86,0,47,Tottenham,164,B. Davies,133,C. Lenglet,subst,C. Lenglet,
39,867952,86,0,47,Tottenham,863,R. Bentancur,18968,Y. Bissouma,subst,Y. Bissouma,
39,867952,87,0,47,Tottenham,1566,Emerson,18742,M. Doherty,subst,M. Doherty,
39,867952,88,0,47,Tottenham,18968,Yves Bissouma,0,,Card,Yellow Card,Foul
39,867952,90,2,41,Southampton,171,K. Walker-Peters,18948,N. Redmond,subst,N. Redmond,
39,867953,18,0,45,Everton,19073,B. Godfrey,19150,M. Holgate,subst,M. Holgate,
39,867953,45,8,45,Everton,2484,Yerry Mina,0,,Card,Yellow Card,Argument
39,867953,45,9,49,Chelsea,2289,Jorginho,0,,Goal,Penalty,
39,867953,56,0,49,Chelsea,19545,Reece James,0,,Card,Yellow Card,Time wasting
39,867953,61,0,45,Everton,18929,D. McNeil,172,D. Alli,subst,D. Alli,
39,867953,65,0,49,Chelsea,19220,M. Mount,17,C. Pulišić,subst,C. Pulišić,
39,867953,65,0,49,Chelsea,2933,B. Chilwell,2292,R. Loftus-Cheek,subst,R. Loftus-Cheek,
39,867953,70,0,45,Everton,2484,Y. Mina,18745,Rúben Vinagre,subst,Rúben Vinagre,
39,867953,75,0,49,Chelsea,318,K. Koulibaly,47380,Marc Cucurella,subst,Marc Cucurella,
39,867953,75,0,49,Chelsea,978,K. Havertz,138822,A. Broja,subst,A. Broja,
39,867953,80,0,45,Everton,2165,Vitaliy Mykolenko,0,,Card,Yellow Card,Foul
39,867953,90,8,45,Everton,19150,Mason Holgate,0,,Card,Yellow Card,Foul
39,867953,90,11,49,Chelsea,47380,Marc Cucurella,0,,Card,Yellow Card,Time wasting
39,867953,90,9,49,Chelsea,2289,Jorginho,67972,C. Gallagher,subst,C. Gallagher,
39,867950,33,0,46,Leicester,2920,T. Castagne,18784,J. Maddison,Goal,Normal Goal,
39,867950,46,0,46,Leicester,148099,K. Dewsbury-Hall,18788,J. Vardy,Goal,Normal Goal,
39,867950,59,0,55,Brentford,18917,B. Mee,106725,K. Lewis-Potter,subst,K. Lewis-Potter,
39,867950,59,0,55,Brentford,47438,M. Jensen,19362,J. Dasilva,subst,J. Dasilva,
39,867950,62,0,55,Brentford,19974,I. Toney,19346,R. Henry,Goal,Normal Goal,
39,867950,73,0,46,Leicester,148099,K. Dewsbury-Hall,1098,P. Daka,subst,P. Daka,
39,867950,73,0,55,Brentford,30407,C. Nørgaard,20110,S. Baptiste,subst,S. Baptiste,
39,867950,83,0,55,Brentford,44871,A. Hickey,19345,M. Sørensen,subst,M. Sørensen,
39,867950,83,0,55,Brentford,20649,Y. Wissa,37440,H. Dervişoğlu,subst,H. Dervişoğlu,
39,867950,86,0,55,Brentford,19362,J. Dasilva,0,,Goal,Normal Goal,
39,867954,25,0,33,Manchester United,903,Scott McTominay,0,,Card,Yellow Card,Foul
39,867954,30,0,51,Brighton,18970,P. Groß,1469,D. Welbeck,Goal,Normal Goal,
39,867954,39,0,51,Brighton,18970,P. Groß,0,,Goal,Normal Goal,
39,867954,45,2,33,Manchester United,2467,Lisandro Martínez,0,,Card,Yellow Card,Foul
39,867954,53,0,33,Manchester United,2935,Harry Maguire,0,,Card,Yellow Card,Argument
39,867954,53,0,51,Brighton,1946,Leandro Trossard,0,,Card,Yellow Card,Argument
39,867954,53,0,33,Manchester United,905,Fred,874,Cristiano Ronaldo,subst,Cristiano Ronaldo,
39,867954,68,0,33,Manchester United,6716,A. Mac Allister,0,,Goal,Own Goal,
39,867954,69,0,51,Brighton,18959,Robert Sánchez,0,,Var,Goal confirmed,
39,867954,74,0,33,Manchester United,891,Luke Shaw,0,,Card,Yellow Card,Foul
39,867954,75,0,51,Brighton,1946,L. Trossard,138815,T. Lamptey,subst,T. Lamptey,
39,867954,76,0,51,Brighton,295,A. Lallana,1093,E. Mwepu,subst,E. Mwepu,
39,867954,78,0,33,Manchester United,903,S. McTominay,547,D. van de Beek,subst,D. van de Beek,
39,867954,90,0,33,Manchester United,891,L. Shaw,37145,T. Malacia,subst,T. Malacia,
39,867954,90,0,33,Manchester United,1485,Bruno Fernandes,284324,A. Garnacho,subst,A. Garnacho,
39,867954,90,0,33,Manchester United,18,J. Sancho,153430,A. Elanga,subst,A. Elanga,
39,867954,90,1,51,Brighton,18973,S. March,152953,L. Colwill,subst,L. Colwill,
39,867954,90,5,51,Brighton,1469,D. Welbeck,26475,D. Undav,subst,D. Undav,
39,867955,29,0,48,West Ham,2997,Ł. Fabiański,253,A. Aréola,subst,A. Aréola,
39,867955,36,0,50,Manchester City,1100,E. Haaland,0,,Goal,Penalty,
39,867955,45,3,50,Manchester City,855,João Cancelo,0,,Card,Yellow Card,Argument
39,867955,57,0,48,West Ham,2473,M. Lanzini,19361,S. Benrahma,subst,S. Benrahma,
39,867955,57,0,48,West Ham,18819,M. Antonio,30544,G. Scamacca,subst,G. Scamacca,
39,867955,65,0,50,Manchester City,1100,E. Haaland,629,K. De Bruyne,Goal,Normal Goal,
39,867955,78,0,50,Manchester City,633,İ. Gündoğan,636,Bernardo Silva,subst,Bernardo Silva,
39,867955,78,0,50,Manchester City,1100,E. Haaland,6009,J. Álvarez,subst,J. Álvarez,
39,867955,88,0,50,Manchester City,631,P. Foden,635,R. Mahrez,subst,R. Mahrez,
39,867955,88,0,50,Manchester City,629,K. De Bruyne,152982,C. Palmer,subst,C. Palmer,
39,867955,89,0,50,Manchester City,44,Rodri,19130,K. Phillips,subst,K. Phillips,
39,867955,90,2,48,West Ham,19428,J. Bowen,19733,F. Downes,subst,F. Downes,
39,867955,90,2,48,West Ham,1697,Pablo Fornals,18820,C. Coventry,subst,C. Coventry,
39,867957,25,0,45,Everton,138787,Anthony Gordon,0,,Var,Goal cancelled,
39,867957,29,0,66,Aston Villa,147,Philippe Coutinho,0,,Card,Yellow Card,Foul
39,867957,31,0,66,Aston Villa,18955,D. Ings,19366,O. Watkins,Goal,Normal Goal,
39,867957,34,0,45,Everton,18805,A. Doucouré,18762,T. Davies,subst,T. Davies,
39,867957,43,0,45,Everton,18762,Tom Davies,0,,Card,Yellow Card,Foul
39,867957,49,0,66,Aston Villa,2724,Lucas Digne,0,,Card,Yellow Card,Foul
39,867957,60,0,66,Aston Villa,147,Philippe Coutinho,19071,E. Buendía,subst,E. Buendía,
39,867957,64,0,45,Everton,18929,D. McNeil,2461,S. Rondón,subst,S. Rondón,
39,867957,75,0,66,Aston Villa,18955,Danny Ings,0,,Card,Yellow Card,Foul
39,867957,78,0,66,Aston Villa,18955,D. Ings,983,L. Bailey,subst,L. Bailey,
39,867957,81,0,45,Everton,18741,C. Coady,172,D. Alli,subst,D. Alli,
39,867957,81,0,45,Everton,18781,D. Gray,162714,A. Onana,subst,A. Onana,
39,867957,86,0,66,Aston Villa,19071,E. Buendía,19366,O. Watkins,Goal,Normal Goal,
39,867957,87,0,45,Everton,2724,L. Digne,0,,Goal,Own Goal,
39,867957,90,5,66,Aston Villa,21090,Diego Carlos,19016,C. Chambers,subst,C. Chambers,
39,867957,90,4,66,Aston Villa,19192,J. Ramsey,894,A. Young,subst,A. Young,
39,867957,90,4,66,Aston Villa,19298,M. Cash,19354,E. Konsa,subst,E. Konsa,
39,867957,90,8,66,Aston Villa,894,Ashley Young,0,,Card,Yellow Card,Time wasting
39,867956,16,0,46,Leicester,22094,Wesley Fofana,0,,Card,Yellow Card,Foul
39,867956,23,0,42,Arsenal,643,Gabriel Jesus,1464,G. Xhaka,Goal,Normal Goal,
39,867956,35,0,42,Arsenal,643,Gabriel Jesus,0,,Goal,Normal Goal,
39,867956,43,0,46,Leicester,18788,Jamie Vardy,0,,Var,Penalty cancelled,
39,867956,53,0,46,Leicester,22090,W. Saliba,0,,Goal,Own Goal,
39,867956,55,0,42,Arsenal,1464,G. Xhaka,643,Gabriel Jesus,Goal,Normal Goal,
39,867956,63,0,46,Leicester,2926,Y. Tielemans,2925,D. Praet,subst,D. Praet,
39,867956,63,0,46,Leicester,3421,D. Amartey,1098,P. Daka,subst,P. Daka,
39,867956,70,0,46,Leicester,18788,J. Vardy,2778,K. Ịheanachọ,subst,K. Ịheanachọ,
39,867956,74,0,46,Leicester,18784,J. Maddison,2778,K. Ịheanachọ,Goal,Normal Goal,
39,867956,75,0,42,Arsenal,19959,B. White,2597,T. Tomiyasu,subst,T. Tomiyasu,
39,867956,75,0,42,Arsenal,127769,Gabriel Martinelli,643,Gabriel Jesus,Goal,Normal Goal,
39,867956,77,0,42,Arsenal,641,O. Zinchenko,1117,K. Tierney,subst,K. Tierney,
39,867956,84,0,42,Arsenal,643,Gabriel Jesus,1468,E. Nketiah,subst,E. Nketiah,
39,867956,84,0,42,Arsenal,1460,B. Saka,1161,E. Smith Rowe,subst,E. Smith Rowe,
39,867956,90,0,42,Arsenal,2597,Takehiro Tomiyasu,0,,Card,Yellow Card,Foul
